TimeGenerated,UserPrincipalName,AppDisplayName,IPAddress,City,Country,ResultType,ResultDescription,DeviceOS,Browser
2026-08-03T12:53:50.000Z,chloe.price@cloudora.io,Microsoft 365,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T13:02:20.000Z,ava.khan@cloudora.io,Cloudora Admin Portal,203.0.113.20,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T13:03:30.000Z,ava.khan@cloudora.io,Cloudora Admin Portal,203.0.113.20,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T13:05:17.000Z,emma.hayes@cloudora.io,Azure Portal,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T13:08:29.000Z,jack.morgan@cloudora.io,Cloudora Admin Portal,198.51.100.26,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T13:11:59.000Z,lucas.ford@cloudora.io,SharePoint Online,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T13:23:30.000Z,lucas.ford@cloudora.io,SharePoint Online,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T13:30:50.000Z,noah.bishop@cloudora.io,SharePoint Online,203.0.113.13,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T13:33:30.000Z,lucas.ford@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T13:39:33.000Z,ethan.wells@cloudora.io,Azure Portal,192.0.2.30,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T13:46:24.000Z,hugo.marsh@cloudora.io,Azure Portal,198.51.100.20,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T13:50:55.000Z,noah.bishop@cloudora.io,SharePoint Online,203.0.113.13,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T13:51:23.000Z,cole.burke@cloudora.io,Microsoft Teams,198.51.100.25,Manchester,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T13:51:43.000Z,olivia.chen@cloudora.io,SharePoint Online,203.0.113.21,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T13:53:31.000Z,cole.burke@cloudora.io,Azure Portal,198.51.100.25,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T13:55:07.000Z,lucas.ford@cloudora.io,SharePoint Online,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T13:56:02.000Z,ethan.wells@cloudora.io,SharePoint Online,192.0.2.30,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T14:01:35.000Z,emma.hayes@cloudora.io,Cloudora Admin Portal,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T14:12:52.000Z,emma.hayes@cloudora.io,Microsoft Teams,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T14:23:59.000Z,emma.hayes@cloudora.io,Azure Portal,203.0.113.12,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T14:24:04.000Z,ava.khan@cloudora.io,Cloudora Admin Portal,203.0.113.20,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T14:24:43.000Z,sofia.marino@cloudora.io,Cloudora Admin Portal,203.0.113.19,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T14:27:51.000Z,seth.lane@cloudora.io,SharePoint Online,192.0.2.32,Austin,United States,0,Success,macOS 14,Safari 17
2026-08-03T14:28:09.000Z,liam.turner@cloudora.io,Microsoft Teams,192.0.2.31,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T14:29:25.000Z,olivia.chen@cloudora.io,Outlook Web,203.0.113.21,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T14:30:11.000Z,cole.burke@cloudora.io,Azure Portal,198.51.100.25,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T14:36:16.000Z,jack.morgan@cloudora.io,Azure Portal,198.51.100.26,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T14:40:48.000Z,finn.gale@cloudora.io,SharePoint Online,198.51.100.24,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T14:40:49.000Z,cole.burke@cloudora.io,Microsoft 365,198.51.100.25,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T14:42:32.000Z,emma.hayes@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T14:46:02.000Z,isla.grant@cloudora.io,SharePoint Online,203.0.113.15,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T14:49:55.000Z,noah.bishop@cloudora.io,SharePoint Online,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T14:50:01.000Z,hugo.marsh@cloudora.io,SharePoint Online,198.51.100.20,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T14:52:34.000Z,cole.burke@cloudora.io,Outlook Web,198.51.100.25,Manchester,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T14:54:07.000Z,finn.gale@cloudora.io,Outlook Web,198.51.100.24,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T15:07:16.000Z,daniel.reeve@cloudora.io,SharePoint Online,203.0.113.40,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T15:09:27.000Z,sofia.marino@cloudora.io,Outlook Web,203.0.113.19,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T15:10:24.000Z,emma.hayes@cloudora.io,Cloudora Admin Portal,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T15:12:28.000Z,noah.bishop@cloudora.io,Cloudora Admin Portal,203.0.113.13,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T15:19:50.000Z,olivia.chen@cloudora.io,Cloudora Admin Portal,203.0.113.21,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T15:26:08.000Z,seth.lane@cloudora.io,Azure Portal,192.0.2.32,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T15:34:05.000Z,ethan.wells@cloudora.io,Microsoft 365,192.0.2.30,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T15:42:17.000Z,ethan.wells@cloudora.io,Cloudora Admin Portal,192.0.2.30,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-03T15:58:28.000Z,dina.said@cloudora.io,Microsoft 365,203.0.113.14,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T16:09:34.000Z,emma.hayes@cloudora.io,Microsoft Teams,203.0.113.12,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T16:12:35.000Z,ethan.wells@cloudora.io,Cloudora Admin Portal,192.0.2.30,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-03T16:12:57.000Z,sofia.marino@cloudora.io,Cloudora Admin Portal,203.0.113.19,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T16:13:36.000Z,seth.lane@cloudora.io,Microsoft 365,192.0.2.32,Austin,United States,0,Success,Windows 11,Chrome 126
2026-08-03T16:19:24.000Z,noah.bishop@cloudora.io,Microsoft 365,203.0.113.13,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T16:20:04.000Z,emma.hayes@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T16:33:00.000Z,sofia.marino@cloudora.io,SharePoint Online,203.0.113.19,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T16:43:24.000Z,ethan.wells@cloudora.io,Azure Portal,192.0.2.30,Austin,United States,0,Success,iOS 17,Mobile Safari
2026-08-03T16:44:33.000Z,sofia.marino@cloudora.io,Microsoft 365,203.0.113.19,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T16:46:53.000Z,mira.shah@cloudora.io,Outlook Web,203.0.113.18,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T16:48:38.000Z,ava.khan@cloudora.io,Microsoft Teams,203.0.113.20,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T16:50:20.000Z,olivia.chen@cloudora.io,Microsoft Teams,203.0.113.21,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T16:56:39.000Z,emma.hayes@cloudora.io,SharePoint Online,203.0.113.12,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T17:10:53.000Z,daniel.reeve@cloudora.io,Outlook Web,203.0.113.41,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T17:32:16.000Z,lucas.ford@cloudora.io,SharePoint Online,203.0.113.10,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T17:33:47.000Z,hugo.marsh@cloudora.io,Cloudora Admin Portal,198.51.100.20,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T17:34:00.000Z,emma.hayes@cloudora.io,Microsoft Teams,203.0.113.12,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T17:43:58.000Z,seth.lane@cloudora.io,Microsoft Teams,192.0.2.32,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-03T17:44:34.000Z,seth.lane@cloudora.io,Azure Portal,192.0.2.32,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-03T17:47:11.000Z,jack.morgan@cloudora.io,Outlook Web,198.51.100.26,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T17:50:59.000Z,ava.khan@cloudora.io,Microsoft Teams,203.0.113.20,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T17:53:33.000Z,finn.gale@cloudora.io,SharePoint Online,198.51.100.24,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T17:54:21.000Z,sofia.marino@cloudora.io,Azure Portal,203.0.113.19,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T17:54:56.000Z,chloe.price@cloudora.io,Microsoft Teams,203.0.113.17,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T17:58:29.000Z,seth.lane@cloudora.io,Cloudora Admin Portal,192.0.2.32,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-03T18:18:13.000Z,noah.bishop@cloudora.io,Outlook Web,203.0.113.13,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T18:20:07.000Z,sofia.marino@cloudora.io,Microsoft Teams,203.0.113.19,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T18:31:23.000Z,daniel.reeve@cloudora.io,Microsoft 365,203.0.113.40,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T18:33:27.000Z,chloe.price@cloudora.io,Azure Portal,203.0.113.17,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T18:37:34.000Z,mira.shah@cloudora.io,SharePoint Online,203.0.113.18,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T18:38:23.000Z,lucas.ford@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T18:42:45.000Z,jack.morgan@cloudora.io,Cloudora Admin Portal,198.51.100.26,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T18:46:38.000Z,olivia.chen@cloudora.io,Microsoft Teams,203.0.113.21,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T18:51:08.000Z,isla.grant@cloudora.io,Outlook Web,203.0.113.15,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T18:53:48.000Z,daniel.reeve@cloudora.io,Azure Portal,203.0.113.41,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T18:56:25.000Z,dina.said@cloudora.io,Microsoft 365,203.0.113.14,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T19:05:13.000Z,lucas.ford@cloudora.io,Azure Portal,203.0.113.10,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T19:09:29.000Z,lucas.ford@cloudora.io,Microsoft 365,203.0.113.10,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T19:11:04.000Z,chloe.price@cloudora.io,Cloudora Admin Portal,203.0.113.17,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T19:16:09.000Z,chloe.price@cloudora.io,Azure Portal,203.0.113.17,London,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-03T19:16:09.000Z,ethan.wells@cloudora.io,Cloudora Admin Portal,192.0.2.30,Austin,United States,0,Success,Android 14,Chrome Mobile
2026-08-03T19:28:50.000Z,finn.gale@cloudora.io,Microsoft 365,198.51.100.24,Manchester,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T19:29:19.000Z,olivia.chen@cloudora.io,Microsoft Teams,203.0.113.21,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T19:36:49.000Z,dina.said@cloudora.io,Microsoft 365,203.0.113.14,London,United Kingdom,50126,Invalid username or password,iOS 17,Mobile Safari
2026-08-03T19:38:07.000Z,lucas.ford@cloudora.io,Microsoft Teams,203.0.113.10,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-03T19:52:08.000Z,sofia.marino@cloudora.io,Azure Portal,203.0.113.19,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T19:53:16.000Z,lucas.ford@cloudora.io,Outlook Web,203.0.113.10,London,United Kingdom,0,Success,Windows 11,Chrome 126
2026-08-03T19:56:23.000Z,hugo.marsh@cloudora.io,SharePoint Online,198.51.100.20,Manchester,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T19:57:30.000Z,emma.hayes@cloudora.io,Microsoft 365,203.0.113.12,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-03T19:57:46.000Z,finn.gale@cloudora.io,Cloudora Admin Portal,198.51.100.24,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-03T19:58:55.000Z,noah.bishop@cloudora.io,Cloudora Admin Portal,203.0.113.13,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-04T07:02:49.000Z,liam.turner@cloudora.io,Microsoft Teams,192.0.2.31,Austin,United States,0,Success,Windows 11,Edge 126
2026-08-04T07:06:25.000Z,chloe.price@cloudora.io,Microsoft Teams,203.0.113.17,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-04T07:06:48.000Z,emma.hayes@cloudora.io,Azure Portal,203.0.113.12,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-04T07:07:45.000Z,hugo.marsh@cloudora.io,Outlook Web,198.51.100.20,Manchester,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-04T07:08:33.000Z,noah.bishop@cloudora.io,SharePoint Online,203.0.113.13,London,United Kingdom,0,Success,iOS 17,Mobile Safari
2026-08-04T07:10:35.000Z,jack.morgan@cloudora.io,Cloudora Admin Portal,198.51.100.26,Manchester,United Kingdom,0,Success,Windows 11,Edge 126
2026-08-04T07:12:49.000Z,daniel.reeve@cloudora.io,SharePoint Online,203.0.113.41,London,United Kingdom,0,Success,macOS 14,Safari 17
2026-08-04T07:21:46.000Z,dina.said@cloudora.io,Cloudora Admin Portal,203.0.113.14,London,United Kingdom,0,Success,Android 14,Chrome Mobile
2026-08-04T07:24:25.000Z,chloe.price@cloudora.io,Microsoft Teams,203.0.113.17,London,United Kingdom,0,Success,Android 14,Chrome Mobile
